                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.9251,                0.78216,                 1.1081,                0.75435,                0.67233,                 0.7145,                0.39976,                 2.9693,                0.78336,                  1.093,             0.00077553,             0.00077553,             0.00077553
                     64,                 2.9342,                  0.763,                 1.1082,                0.80765,                0.66182,                0.72125,                0.41353,                 2.9754,                0.77032,                 1.0904,             0.00077003,             0.00077003,             0.00077003
                     65,                 2.9366,                  0.765,                 1.1002,                0.75358,                0.62273,                0.71676,                0.41101,                 2.8871,                0.83434,                 1.0996,             0.00076453,             0.00076453,             0.00076453
                     66,                 2.8657,                0.77991,                 1.0991,                0.73295,                0.70974,                0.72926,                0.40825,                 2.8829,                0.78328,                 1.0963,             0.00075904,             0.00075904,             0.00075904
                     67,                 2.8695,                0.76473,                 1.1057,                0.79957,                0.66599,                0.73397,                0.41657,                  2.948,                0.78361,                 1.0838,             0.00075354,             0.00075354,             0.00075354
                     68,                 2.8544,                0.77799,                 1.1035,                0.79718,                0.69377,                0.73874,                0.42406,                 2.8771,                0.76035,                 1.0896,             0.00074804,             0.00074804,             0.00074804
                     69,                 2.8762,                0.75351,                 1.0946,                0.80891,                0.68935,                0.74289,                0.41027,                 2.8221,                0.77518,                 1.0958,             0.00074254,             0.00074254,             0.00074254
                     70,                 2.8508,                 0.7487,                 1.0967,                0.76332,                0.71373,                 0.7377,                 0.4117,                  2.801,                0.77361,                 1.0975,             0.00073704,             0.00073704,             0.00073704
                     71,                  2.835,                0.76293,                 1.0944,                0.80993,                0.71212,                0.77063,                0.45544,                 2.8439,                0.78418,                 1.0888,             0.00073154,             0.00073154,             0.00073154
                     72,                 2.8224,                0.75861,                 1.0969,                0.80142,                0.67097,                0.73079,                0.42142,                 2.8257,                0.77191,                 1.0895,             0.00072604,             0.00072604,             0.00072604
                     73,                 2.8486,                0.75456,                 1.0816,                0.78869,                0.68516,                0.73295,                  0.419,                 2.8285,                0.78881,                 1.0855,             0.00072054,             0.00072054,             0.00072054
                     74,                 2.8041,                0.75619,                 1.0982,                0.81892,                0.72476,                0.75162,                 0.4336,                 2.7848,                0.76345,                  1.087,             0.00071504,             0.00071504,             0.00071504
                     75,                 2.7959,                 0.7492,                 1.0907,                0.79808,                  0.725,                0.75854,                0.44241,                 2.8053,                0.76318,                 1.0872,             0.00070954,             0.00070954,             0.00070954
                     76,                 2.7955,                0.73949,                 1.0903,                0.77072,                0.68949,                0.74597,                0.43551,                 2.8349,                0.76406,                 1.0791,             0.00070404,             0.00070404,             0.00070404
                     77,                 2.7906,                0.73489,                 1.0925,                0.74375,                0.70621,                0.74066,                0.42241,                 2.7765,                0.76874,                 1.0806,             0.00069854,             0.00069854,             0.00069854
                     78,                  2.793,                0.73529,                 1.0926,                 0.8062,                0.75615,                0.75702,                0.43491,                 2.7604,                0.76652,                 1.0849,             0.00069304,             0.00069304,             0.00069304
                     79,                 2.7997,                 0.7286,                 1.0889,                0.79154,                 0.7091,                0.76539,                0.43333,                 2.6932,                0.78091,                 1.0906,             0.00068754,             0.00068754,             0.00068754
                     80,                 2.7839,                0.73101,                 1.0791,                0.79199,                0.70401,                0.75689,                0.44151,                  2.768,                0.75106,                 1.0793,             0.00068204,             0.00068204,             0.00068204
                     81,                 2.7826,                0.72349,                 1.0803,                0.78197,                0.66934,                0.73264,                0.41394,                 2.6395,                0.75605,                 1.0894,             0.00067654,             0.00067654,             0.00067654
                     82,                 2.7575,                0.72753,                 1.0788,                  0.775,                0.66961,                0.70826,                0.38959,                 2.6783,                0.77316,                 1.0876,             0.00067104,             0.00067104,             0.00067104
                     83,                  2.733,                0.72887,                 1.0746,                0.85719,                0.71661,                0.76861,                0.44836,                 2.7567,                0.74965,                 1.0755,             0.00066554,             0.00066554,             0.00066554
                     84,                 2.7332,                 0.7248,                 1.0771,                0.82419,                0.70298,                0.76461,                0.44182,                 2.7218,                0.74304,                 1.0755,             0.00066005,             0.00066005,             0.00066005
                     85,                 2.7333,                0.72333,                 1.0766,                  0.825,                0.74794,                0.78063,                0.45769,                 2.7209,                 0.7479,                 1.0714,             0.00065455,             0.00065455,             0.00065455
                     86,                 2.7211,                0.71855,                 1.0744,                0.80557,                0.72555,                0.76739,                0.44023,                 2.7046,                0.74507,                  1.073,             0.00064905,             0.00064905,             0.00064905
